start_year,start_month,end_year,end_month,campaign,platform,notes
2015,6,2015,8,PECAN,CLAMPS1,Central Great Plains; mobile PISA; summer
2016,3,2016,5,VORTEX-SE 2016,CLAMPS1,Belle Mina AL; Mar-May
2016,10,2016,10,EPIC-1,CLAMPS2,ARM SGP; Oct 2016
2017,2,2017,3,VORTEX-SE 2017,CLAMPS2,Scottsboro AL; Feb-Mar
2017,3,2017,5,miniMPEX,CLAMPS2,Great Plains; spring
2017,4,2017,6,Perdigão,CLAMPS1,Portugal; spring
2017,5,2017,6,RIVoRS,CLAMPS2,Great Plains; May-Jun
2017,5,2017,5,EPIC-2,CLAMPS2,Medford OK Mesonet; May
2017,8,2017,8,LAFE,CLAMPS1,ARM SGP; Aug
2018,3,2018,5,VORTEX-SE 2018,CLAMPS2,Belle Mina AL; Mar-May
2018,7,2018,7,LAPSE-RATE,CLAMPS1,San Luis Valley CO; Jul
2018,11,2019,4,VORTEX-SE/Meso,CLAMPS1,Courtland AL; Nov 2018-Apr 2019
2019,2,2019,4,VORTEX-SE/Meso,CLAMPS2,Cullman AL; Feb-Apr 2019
2019,5,2019,7,SGP-MPD Compare,CLAMPS2,ARM SGP E41; May-Jul; AERI only
2019,9,2019,10,CHEESEHEAD,CLAMPS1,Wisconsin; Sep-Oct
2019,9,2019,10,CHEESEHEAD,CLAMPS2,Wisconsin; Sep-Oct
2020,6,2020,6,NWC readiness,CLAMPS1,Norman OK; Jun
2020,8,2020,9,PBLTops,CLAMPS2,OU Westheimer; Aug-Sep
2020,8,2020,9,PBLTops,CLAMPS1,KAEFS then Shreveport LA; Aug-Sep
2021,5,2021,6,BLISSFUL,CLAMPS1,KAEFS; May-Jun
2021,5,2021,6,BLISSFUL,CLAMPS2,KAEFS; May-Jun
2021,7,2021,7,NCAR LOTOS,CLAMPS1,Marshall Field CO; Jul
2021,8,2021,9,TRACER-AQ,CLAMPS1,Aldine TX; Aug-Sep
2021,10,2022,1,SPLASH-SAIL,CLAMPS2,Brush Creek CO; Oct 2021-Jan 2022
2022,6,2022,9,TRACER,CLAMPS1,Houston area; Jun-Sep
2022,6,2022,9,TRACER,CLAMPS2,Houston Coastal Center; Jun-Sep
2022,2,2022,4,PERiLS,CLAMPS1,Lake Village AR; Feb-Apr
2022,2,2022,4,PERiLS,CLAMPS2,Yazoo City MS; Feb-Apr
2022,10,2022,12,AWAKEN,CLAMPS1,Rolling Meadows OK; Oct-Dec
2022,10,2022,12,AWAKEN,CLAMPS2,ARM SGP E36; Oct-Dec
2023,2,2023,5,PERiLS,CLAMPS2,Lake Village AR; Feb-May
2023,6,2023,10,AWAKEN,CLAMPS1,Rolling Meadows OK; Jun-Oct
2023,6,2023,10,AWAKEN,CLAMPS2,ARM SGP E36; Jun-Oct
2023,11,2024,1,Dual Doppler,CLAMPS2,Norman OK; Nov 2023-Jan 2024
2024,8,2024,8,Mesonet/NWS,CLAMPS2,KAEFS; Aug
2024,9,2024,9,SCALES,CLAMPS2,KAEFS; Sep
2024,10,2024,10,WH2yMSIE,CLAMPS1,NWC Norman; Oct
2024,10,2024,10,WH2yMSIE,CLAMPS2,KAEFS; Oct
