impact_metric,count,nwc_affiliated,non_affiliated,unknown,notes
(a) Peer-reviewed publications — high-confidence metadata,454,50,388,16,Upper bound before PDF verification
(a) Peer-reviewed publications — PDF CLAMPS confirmed,84,20,64,0,Conservative impact count from full-text search
"(a) Substantive use — Tier 1+2 (peer-reviewed, PDF-confirmed)",27,14,13,0,"Data use, analysis, or discussion — excludes peripheral refs and false positives"
(a) Data / instrument use — Tier 1 only (peer-reviewed),14,11,3,0,"Dataset DOI, repository URL, grant, or CLAMPS deployment in methods/results"
(a) Excluded — false positives (Tier 0),0,0,0,0,Word collision or unrelated topic; removed from substantive counts
(a) Additional peer-reviewed PDFs (manual download),4,,,,Paywalled/OA papers verified locally; affiliation TBD
(b) Theses & dissertations — metadata (all fields),12,0,5,7,Includes non-meteorology false positives
(b) Theses & dissertations — PDF CLAMPS confirmed,2,0,1,1,Small sample; OU theses require repository search
"(c) Classroom / student engagement (courses, REU, demos)",[MANUAL],[MANUAL],[MANUAL],[MANUAL],Educational impact; not captured by bibliometric pipeline
